ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CREDIT_INQUIRIES,EXISTING_LOAN_BALANCE
5002940,M,N,Y,240100.0,Commercial associate,Higher education,Married,House / apartment,-16188,-662,3,86900.0
5002941,F,N,N,596000.0,Working,Secondary / secondary special,Married,House / apartment,-22467,-2406,0,0.0
5002942,M,N,Y,68700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15483,-1156,2,17600.0
5002943,F,Y,N,146900.0,Working,Higher education,Married,House / apartment,-16618,-1974,0,0.0
5002944,F,N,Y,180800.0,Working,Secondary / secondary special,Married,House / apartment,-16026,-7628,1,124600.0
5002945,M,Y,Y,339300.0,Working,Secondary / secondary special,Married,Rented apartment,-14361,-5400,2,123800.0
5002946,F,N,Y,342200.0,Working,Higher education,Single / not married,House / apartment,-9560,-2108,2,0.0
5002947,F,N,Y,143300.0,Working,Secondary / secondary special,Married,House / apartment,-9839,-3024,1,134100.0
5002948,M,N,N,363800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10744,-1745,1,0.0
5002949,F,Y,Y,180600.0,Working,Secondary / secondary special,Married,House / apartment,-21276,-230,3,0.0
5002950,F,N,Y,404900.0,Working,Secondary / secondary special,Married,House / apartment,-12396,-3790,1,0.0
5002951,F,Y,N,131800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23946,-12706,1,153000.0
5002952,F,N,Y,207700.0,Working,Higher education,Married,House / apartment,-21578,-14267,0,54300.0
5002953,F,Y,Y,172900.0,Working,Higher education,Married,House / apartment,-19421,-4791,3,121600.0
5002954,F,N,Y,374500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20037,-11100,2,386800.0
5002955,F,N,N,170100.0,Working,Lower secondary,Single / not married,House / apartment,-8487,-1652,0,186600.0
5002956,F,N,N,216300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17427,-1723,0,142500.0
5002957,F,N,N,284600.0,State servant,Secondary / secondary special,Married,With parents,-23825,-9293,1,141000.0
5002958,M,Y,Y,290100.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-8341,-456,1,191600.0
5002959,F,Y,N,344200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12666,-2821,5,134000.0
5002960,M,N,Y,245500.0,Commercial associate,Higher education,Widow,Municipal apartment,-8554,-1763,1,281900.0
5002961,M,Y,Y,179200.0,Working,Secondary / secondary special,Married,Municipal apartment,-17450,-8624,2,0.0
5002962,M,Y,N,185500.0,Working,Higher education,Separated,House / apartment,-9665,-1841,0,179500.0
5002963,F,N,Y,223800.0,Working,Secondary / secondary special,Married,House / apartment,-15897,-7574,1,0.0
5002964,F,N,Y,250300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20029,-2211,2,204000.0
5002965,F,Y,Y,205200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10493,-910,1,206500.0
5002966,F,Y,Y,223000.0,Commercial associate,Higher education,Married,House / apartment,-20637,-3081,4,9800.0
5002967,F,Y,N,103400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8703,-1693,3,25800.0
5002968,F,N,Y,308400.0,Working,Secondary / secondary special,Married,House / apartment,-10238,-3284,2,252100.0
5002969,F,N,Y,241800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12478,-3403,4,0.0
5002970,M,N,Y,364500.0,Commercial associate,Higher education,Married,House / apartment,-21336,-14003,1,31200.0
5002971,M,N,N,220900.0,Commercial associate,Higher education,Separated,House / apartment,-22264,-10686,1,111500.0
5002972,F,Y,N,92600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11453,-2829,1,0.0
5002973,F,N,Y,184700.0,Working,Higher education,Married,House / apartment,-9314,-1746,2,10300.0
5002974,M,N,N,199900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22226,-12439,2,0.0
5002975,M,Y,N,320300.0,Working,Secondary / secondary special,Married,House / apartment,-18817,-1270,1,0.0
5002976,F,N,Y,78500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10380,-791,1,36100.0
5002977,M,N,Y,225500.0,Working,Secondary / secondary special,Married,House / apartment,-17244,-2975,1,136600.0
5002978,F,N,Y,285600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22646,365243,1,96400.0
5002979,F,N,N,158700.0,Working,Higher education,Single / not married,House / apartment,-8863,-2067,0,0.0
5002980,F,Y,Y,229300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9107,-2403,1,0.0
5002981,M,Y,Y,161400.0,Commercial associate,Higher education,Married,House / apartment,-12367,-2180,0,0.0
5002982,F,N,Y,153400.0,Working,Higher education,Married,House / apartment,-18867,-11370,2,44200.0
5002983,F,Y,N,180100.0,Working,Higher education,Married,House / apartment,-10726,-2353,0,7300.0
5002984,F,N,Y,154800.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21684,-7010,2,163200.0
5002985,F,N,N,310900.0,Working,Higher education,Married,House / apartment,-20552,-11671,0,0.0
5002986,M,N,N,153000.0,Working,Secondary / secondary special,Married,House / apartment,-17300,-5940,2,0.0
5002987,F,N,Y,140600.0,Pensioner,Incomplete higher,Married,House / apartment,-9662,365243,0,49200.0
5002988,F,N,Y,534700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24634,-6739,2,0.0
5002989,F,N,Y,357100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16082,-331,2,0.0
5002990,M,N,N,87100.0,Commercial associate,Higher education,Married,House / apartment,-15430,-294,2,74600.0
5002991,F,Y,Y,150700.0,Working,Higher education,Married,House / apartment,-24760,-9237,1,80200.0
5002992,F,Y,Y,249400.0,State servant,Secondary / secondary special,Married,House / apartment,-22500,-1241,2,244600.0
5002993,M,Y,Y,259700.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-15504,-6629,0,13200.0
5002994,M,Y,Y,104800.0,State servant,Secondary / secondary special,Married,House / apartment,-14859,-5225,1,71700.0
5002995,F,Y,N,394300.0,Working,Incomplete higher,Civil marriage,House / apartment,-9316,-1354,2,239100.0
5002996,M,Y,N,333700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-23575,-10423,1,387700.0
5002997,M,N,N,281100.0,Working,Secondary / secondary special,Married,House / apartment,-22155,-14510,0,293700.0
5002998,M,N,Y,435300.0,Working,Secondary / secondary special,Married,With parents,-12991,-1718,1,361100.0
5002999,F,Y,Y,277000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20602,-7895,0,120400.0
5003000,F,N,N,276400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20763,-11988,2,300300.0
5003001,F,N,Y,481300.0,Commercial associate,Higher education,Civil marriage,House / apartment,-11582,-264,0,484100.0
5003002,M,Y,N,383100.0,State servant,Higher education,Married,With parents,-18204,-2512,0,200000.0
5003003,F,N,Y,145000.0,Working,Secondary / secondary special,Married,House / apartment,-12048,-2939,3,69900.0
5003004,F,N,Y,303200.0,Working,Higher education,Married,House / apartment,-21230,-8150,0,0.0
5003005,F,N,N,158500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10310,-489,1,76300.0
5003006,F,N,N,284200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19153,365243,0,0.0
5003007,M,Y,N,280300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13266,-2834,1,314400.0
5003008,F,N,Y,110600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8291,-980,0,59700.0
5003009,M,Y,Y,207800.0,Working,Higher education,Married,House / apartment,-9793,-1467,2,38700.0
5003010,F,N,Y,252200.0,Working,Secondary / secondary special,Married,House / apartment,-18912,-8698,0,144500.0
5003011,M,N,Y,177600.0,Commercial associate,Higher education,Married,House / apartment,-11788,-4063,3,137600.0
5003012,M,N,N,258500.0,Working,Higher education,Single / not married,House / apartment,-18503,-5588,2,0.0
5003013,M,Y,Y,330500.0,State servant,Higher education,Married,House / apartment,-14791,-3602,2,227400.0
5003014,F,N,N,217500.0,Working,Incomplete higher,Civil marriage,House / apartment,-19561,-9214,0,25400.0
5003015,M,N,Y,247200.0,Working,Incomplete higher,Married,Rented apartment,-16132,-5388,1,87300.0
5003016,F,N,N,441200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12967,-5587,0,502800.0
5003017,F,N,Y,279900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10173,-1826,2,0.0
5003018,M,N,Y,244200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13525,-4070,0,31100.0
5003019,F,N,N,136800.0,Pensioner,Higher education,Married,House / apartment,-18569,365243,2,21300.0
5003020,M,N,Y,309000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20381,365243,1,0.0
5003021,F,N,N,260500.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-10422,365243,2,0.0
5003022,F,N,N,419700.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-19073,-1769,0,148000.0
5003023,M,N,N,226100.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10747,-3518,2,155600.0
5003024,M,Y,Y,89100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11478,-2176,1,58100.0
5003025,M,N,Y,94400.0,Working,Higher education,Married,With parents,-16791,-7397,1,0.0
5003026,F,N,Y,319100.0,Working,Secondary / secondary special,Married,House / apartment,-12634,-2707,0,80100.0
5003027,F,Y,Y,166100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19027,-195,1,103900.0
5003028,F,N,Y,274800.0,Working,Secondary / secondary special,Widow,House / apartment,-24077,-5959,0,85600.0
5003029,F,N,Y,233900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10226,-694,0,0.0
5003030,M,N,Y,203200.0,Working,Secondary / secondary special,Married,House / apartment,-17464,-4450,1,65900.0
5003031,F,N,Y,210500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23520,365243,0,111800.0
5003032,F,Y,Y,143300.0,State servant,Secondary / secondary special,Married,House / apartment,-10700,-1449,0,0.0
5003033,M,Y,Y,219200.0,Working,Secondary / secondary special,Married,House / apartment,-13967,-1643,1,0.0
5003034,M,N,Y,164900.0,Working,Incomplete higher,Married,House / apartment,-9792,-558,1,116700.0
5003035,M,Y,N,183400.0,State servant,Lower secondary,Married,With parents,-18691,-8877,3,11000.0
5003036,F,Y,Y,187900.0,State servant,Secondary / secondary special,Married,House / apartment,-19157,-9542,2,0.0
5003037,F,N,Y,197200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19072,365243,2,195800.0
5003038,M,Y,Y,350300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16976,365243,2,260500.0
5003039,F,N,N,207000.0,Pensioner,Lower secondary,Single / not married,House / apartment,-20481,365243,1,0.0
5003040,M,N,Y,368500.0,Working,Secondary / secondary special,Married,House / apartment,-8286,-587,2,234700.0
5003041,F,Y,Y,476600.0,Working,Secondary / secondary special,Married,House / apartment,-24107,-7326,2,0.0
5003042,M,Y,N,338700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11482,-2375,0,30200.0
5003043,F,N,N,288600.0,Working,Secondary / secondary special,Married,House / apartment,-9757,-1248,3,246700.0
5003044,F,N,Y,260100.0,State servant,Secondary / secondary special,Married,House / apartment,-23826,-4188,2,98400.0
5003045,F,Y,Y,340500.0,Working,Higher education,Civil marriage,House / apartment,-21926,-2866,1,204200.0
5003046,F,N,Y,231000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20800,-12441,0,143800.0
5003047,M,Y,Y,361400.0,Working,Secondary / secondary special,Married,House / apartment,-9468,-2441,0,0.0
5003048,M,N,N,300300.0,Working,Secondary / secondary special,Married,House / apartment,-21532,-6201,1,357500.0
5003049,M,Y,Y,184500.0,Commercial associate,Higher education,Married,House / apartment,-18125,-8381,1,64400.0
5003050,M,Y,N,345700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20234,365243,2,137500.0
5003051,F,Y,Y,231200.0,Working,Secondary / secondary special,Married,House / apartment,-24460,-7372,0,0.0
5003052,M,N,N,209500.0,Pensioner,Higher education,Married,House / apartment,-11008,365243,0,53500.0
5003053,M,N,Y,174100.0,State servant,Higher education,Separated,House / apartment,-16328,-999,1,80100.0
5003054,F,N,Y,240000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20602,-11569,3,75500.0
5003055,F,N,Y,363600.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15114,-2015,4,93500.0
5003056,F,Y,Y,344500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8608,-1491,0,0.0
5003057,M,Y,Y,263600.0,Working,Higher education,Married,House / apartment,-9583,-1673,0,271000.0
5003058,M,N,N,298100.0,Working,Secondary / secondary special,Married,House / apartment,-18006,-7950,0,13900.0
5003059,F,N,Y,417200.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12562,-2918,0,418600.0
5003060,M,N,N,204900.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10036,-2486,1,116200.0
5003061,M,Y,Y,126500.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-404,1,67400.0
5003062,F,N,Y,423400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11120,-360,4,212900.0
5003063,F,Y,N,169500.0,Working,Lower secondary,Separated,House / apartment,-8081,-1369,1,27400.0
5003064,F,N,Y,156400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10276,-2821,2,16700.0
5003065,M,Y,Y,90000.0,Working,Incomplete higher,Married,House / apartment,-22829,-12135,3,0.0
5003066,M,N,Y,293900.0,Working,Secondary / secondary special,Married,House / apartment,-7876,-693,2,245200.0
5003067,F,Y,Y,98200.0,Working,Incomplete higher,Civil marriage,House / apartment,-20954,-6708,1,0.0
5003068,M,N,N,151800.0,Working,Higher education,Married,Municipal apartment,-20604,-7577,0,143700.0
5003069,F,N,N,296400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17356,-2765,3,268600.0
5003070,F,N,Y,316900.0,Working,Secondary / secondary special,Married,House / apartment,-11248,-3477,0,173800.0
5003071,F,N,N,159500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22743,-12149,3,5800.0
5003072,M,N,Y,206600.0,Working,Secondary / secondary special,Married,House / apartment,-15825,-8409,1,111500.0
5003073,M,N,Y,142800.0,Working,Secondary / secondary special,Married,House / apartment,-10643,-2192,0,56500.0
5003074,F,N,N,167900.0,Working,Secondary / secondary special,Married,House / apartment,-15035,-3614,0,136500.0
5003075,F,Y,Y,252400.0,Working,Higher education,Civil marriage,House / apartment,-11016,-3721,2,0.0
5003076,F,N,N,171900.0,Working,Higher education,Single / not married,House / apartment,-14125,-5728,1,96400.0
5003077,M,N,N,195500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16196,-8369,1,128400.0
5003078,M,N,N,106200.0,Working,Incomplete higher,Civil marriage,House / apartment,-13848,-4832,1,67900.0
5003079,F,N,N,389200.0,Working,Incomplete higher,Married,House / apartment,-18949,-10952,0,436800.0
5003080,F,Y,Y,285100.0,Working,Secondary / secondary special,Married,House / apartment,-23736,-1467,2,13700.0
5003081,F,Y,Y,328400.0,Working,Secondary / secondary special,Married,House / apartment,-13646,-4864,1,238400.0
5003082,M,Y,Y,421100.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13777,-805,2,60200.0
5003083,F,Y,N,146200.0,Working,Secondary / secondary special,Married,With parents,-20344,-10358,0,27300.0
5003084,F,N,Y,184700.0,Working,Secondary / secondary special,Married,House / apartment,-16778,-6480,1,177400.0
5003085,F,N,Y,85700.0,Working,Secondary / secondary special,Married,House / apartment,-15032,-314,4,85900.0
5003086,F,N,Y,800000.0,Commercial associate,Higher education,Married,House / apartment,-21640,-8828,0,609000.0
5003087,M,N,N,205000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22966,-2293,1,138500.0
5003088,F,Y,N,371300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17808,-1756,1,94000.0
5003089,M,N,Y,118900.0,Working,Higher education,Married,House / apartment,-10847,-798,0,87400.0
5003090,F,N,Y,363500.0,Working,Higher education,Civil marriage,House / apartment,-15674,-4497,1,332600.0
5003091,F,N,Y,559200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16328,-1288,1,0.0
5003092,M,N,Y,214300.0,Commercial associate,Higher education,Married,House / apartment,-15089,-1229,0,0.0
5003093,F,N,Y,133300.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12175,-1570,0,57800.0
5003094,M,N,N,206100.0,Working,Secondary / secondary special,Married,House / apartment,-15778,-190,1,0.0
5003095,F,N,N,72600.0,Working,Secondary / secondary special,Married,House / apartment,-15335,-2548,3,0.0
5003096,F,Y,Y,216800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11266,-2971,0,81300.0
5003097,M,Y,Y,333000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-23179,-8861,1,290600.0
5003098,M,N,Y,217000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22868,-14170,0,98900.0
5003099,F,N,Y,191600.0,Working,Higher education,Single / not married,House / apartment,-20710,-1851,2,192800.0
5003100,M,N,Y,287600.0,Commercial associate,Higher education,Married,House / apartment,-14553,-6930,1,9100.0
5003101,F,N,Y,298800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14027,-3026,1,0.0
5003102,F,N,Y,96300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19969,-5296,1,0.0
5003103,F,Y,N,230900.0,State servant,Higher education,Married,House / apartment,-18109,-4142,2,160300.0
5003104,M,N,N,746700.0,State servant,Secondary / secondary special,Married,House / apartment,-17980,-1582,2,739400.0
5003105,F,N,Y,113300.0,Working,Secondary / secondary special,Married,House / apartment,-9800,-1639,2,68800.0
5003106,F,Y,Y,211700.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18284,365243,0,79600.0
5003107,M,N,N,583200.0,Working,Higher education,Married,House / apartment,-23152,-11542,1,161400.0
5003108,F,N,N,383700.0,Commercial associate,Higher education,Single / not married,House / apartment,-9143,-2271,1,244400.0
5003109,F,N,Y,170900.0,State servant,Higher education,Married,House / apartment,-13492,-6668,2,0.0
5003110,F,N,Y,244900.0,Working,Secondary / secondary special,Married,House / apartment,-16408,-7761,1,0.0
5003111,M,Y,Y,220700.0,Working,Higher education,Single / not married,Municipal apartment,-19446,-8089,0,0.0
5003112,F,N,Y,152000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9208,365243,5,70800.0
5003113,M,N,Y,212800.0,Working,Secondary / secondary special,Married,House / apartment,-22653,-7360,1,128700.0
5003114,M,N,Y,192000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8366,-1590,2,0.0
5003115,F,Y,Y,233700.0,Working,Higher education,Single / not married,House / apartment,-22393,-10851,1,262600.0
5003116,F,N,Y,151900.0,State servant,Secondary / secondary special,Married,House / apartment,-8144,-406,1,0.0
5003117,M,Y,Y,116700.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-10305,365243,1,0.0
5003118,M,Y,N,216400.0,Working,Higher education,Married,House / apartment,-21409,-10030,3,258900.0
5003119,M,N,Y,520700.0,State servant,Higher education,Married,House / apartment,-22436,-6401,0,62700.0
5003120,M,Y,N,230200.0,Working,Secondary / secondary special,Married,House / apartment,-24532,-8778,2,184100.0
5003121,M,N,Y,187200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9656,365243,1,128000.0
5003122,M,Y,Y,322100.0,Commercial associate,Higher education,Married,Municipal apartment,-16707,-9121,2,0.0
5003123,F,N,Y,204100.0,Working,Higher education,Married,House / apartment,-8994,-1642,0,178700.0
5003124,F,Y,Y,562100.0,Working,Secondary / secondary special,Married,House / apartment,-10355,-3560,1,335800.0
5003125,F,Y,Y,220500.0,Working,Secondary / secondary special,Married,House / apartment,-10665,-3568,1,0.0
5003126,F,Y,Y,313500.0,Working,Secondary / secondary special,Widow,House / apartment,-8758,-440,5,49100.0
5003127,M,N,Y,151500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22999,-350,1,0.0
5003128,F,N,N,284100.0,Working,Secondary / secondary special,Married,House / apartment,-9839,-1367,3,230900.0
5003129,F,Y,Y,253500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18473,365243,1,282400.0
5003130,F,N,N,214700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18412,-10268,0,103600.0
5003131,F,N,Y,171900.0,Commercial associate,Secondary / secondary special,Married,With parents,-11080,-1177,3,96500.0
5003132,F,N,Y,160600.0,Working,Higher education,Married,House / apartment,-24809,-10157,0,150200.0
5003133,F,N,Y,254400.0,State servant,Secondary / secondary special,Married,House / apartment,-13633,-3455,2,0.0
5003134,M,N,N,302500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23207,-10946,3,183900.0
5003135,F,Y,N,207300.0,State servant,Higher education,Married,House / apartment,-23949,-2562,1,0.0
5003136,F,N,N,255000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23961,365243,0,18200.0
5003137,F,N,Y,216800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20594,-3490,1,53400.0
5003138,F,N,N,232100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12027,-1460,2,0.0
5003139,M,Y,Y,199800.0,State servant,Higher education,Civil marriage,House / apartment,-9741,-1819,4,103500.0
5003140,M,Y,N,222900.0,State servant,Lower secondary,Civil marriage,House / apartment,-17453,-3280,1,109700.0
5003141,F,N,Y,800000.0,Commercial associate,Higher education,Married,House / apartment,-13850,-5940,2,809000.0
5003142,F,N,Y,258100.0,Working,Higher education,Married,House / apartment,-21936,-5185,1,0.0
5003143,F,N,Y,305000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20459,-9237,1,0.0
5003144,M,N,Y,275000.0,Working,Higher education,Single / not married,House / apartment,-12416,-5550,1,0.0
5003145,M,Y,N,193700.0,Working,Incomplete higher,Married,House / apartment,-7962,-914,0,136000.0
5003146,F,Y,N,421900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11744,-1390,1,0.0
5003147,F,N,Y,191000.0,Working,Higher education,Widow,House / apartment,-17405,-9025,2,133500.0
5003148,F,Y,N,374400.0,Working,Secondary / secondary special,Married,House / apartment,-9026,-211,1,247600.0
5003149,F,Y,N,186900.0,Pensioner,Secondary / secondary special,Married,With parents,-18970,365243,0,144300.0
5003150,F,N,Y,136700.0,State servant,Higher education,Civil marriage,With parents,-19201,-3374,1,115300.0
5003151,M,N,Y,265200.0,Pensioner,Secondary / secondary special,Married,With parents,-10578,365243,0,67500.0
5003152,F,Y,Y,127200.0,State servant,Secondary / secondary special,Married,House / apartment,-17907,-4503,1,0.0
5003153,F,N,Y,288700.0,Working,Higher education,Civil marriage,House / apartment,-18089,-2403,2,0.0
5003154,F,N,Y,121600.0,State servant,Higher education,Single / not married,With parents,-15875,-5690,1,0.0
5003155,F,Y,Y,188300.0,Pensioner,Higher education,Married,House / apartment,-24034,365243,0,0.0
5003156,F,N,Y,108000.0,Pensioner,Secondary / secondary special,Civil marriage,Municipal apartment,-9527,365243,0,50600.0
5003157,M,N,Y,800000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14650,-4587,1,51200.0
5003158,F,N,N,96600.0,Working,Lower secondary,Married,With parents,-22827,-6047,0,71400.0
5003159,M,N,Y,222000.0,Working,Secondary / secondary special,Married,House / apartment,-14302,-2403,2,134500.0
5003160,F,N,Y,391300.0,Working,Incomplete higher,Married,House / apartment,-14959,-3741,2,0.0
5003161,M,Y,Y,370900.0,Pensioner,Higher education,Married,House / apartment,-19142,365243,0,0.0
5003162,M,N,Y,338100.0,Working,Higher education,Separated,House / apartment,-19095,-3775,2,0.0
5003163,F,N,Y,188500.0,State servant,Secondary / secondary special,Married,House / apartment,-8063,-471,2,0.0
5003164,M,N,Y,434100.0,Working,Secondary / secondary special,Married,Rented apartment,-15493,-3251,1,57100.0
5003165,F,N,Y,348800.0,Commercial associate,Higher education,Married,House / apartment,-13395,-4181,2,0.0
5003166,F,Y,Y,245600.0,Working,Secondary / secondary special,Married,House / apartment,-18445,-7761,2,71400.0
5003167,M,N,Y,249100.0,Working,Higher education,Civil marriage,House / apartment,-17209,-3290,2,258200.0
5003168,F,N,Y,189800.0,Working,Higher education,Married,House / apartment,-18843,-11633,1,78800.0
5003169,F,Y,N,140200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18893,-3361,0,0.0
5003170,F,N,Y,410100.0,Working,Higher education,Married,House / apartment,-12045,-3948,3,186000.0
5003171,M,N,Y,425700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11901,-601,1,0.0
5003172,M,N,Y,142000.0,Working,Secondary / secondary special,Married,House / apartment,-14026,-5015,2,0.0
5003173,M,Y,N,204600.0,State servant,Secondary / secondary special,Married,House / apartment,-11823,-2513,0,57800.0
5003174,M,N,Y,205600.0,Working,Higher education,Widow,House / apartment,-19391,-7373,1,135700.0
5003175,M,Y,N,217300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18019,-2255,1,208100.0
5003176,F,Y,N,228100.0,Working,Secondary / secondary special,Married,House / apartment,-11384,-2189,1,0.0
5003177,F,N,Y,354700.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22847,-11238,3,278300.0
5003178,F,Y,Y,152000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15578,-6949,0,117300.0
5003179,F,Y,Y,144700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9851,-917,1,0.0
5003180,M,Y,Y,409900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11326,365243,1,0.0
5003181,M,Y,Y,175300.0,Working,Higher education,Married,House / apartment,-16937,-3772,0,191900.0
5003182,M,Y,Y,117500.0,Working,Secondary / secondary special,Married,Municipal apartment,-13479,-208,1,51300.0
5003183,M,N,Y,173300.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22282,-1480,1,106800.0
5003184,F,Y,Y,187300.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16163,-1374,0,79500.0
5003185,F,Y,N,480700.0,Working,Lower secondary,Married,House / apartment,-23382,-4419,3,346300.0
5003186,M,Y,Y,350800.0,Working,Secondary / secondary special,Married,Rented apartment,-9418,-2202,0,321400.0
5003187,M,N,N,392100.0,Working,Higher education,Married,House / apartment,-19147,-6504,1,275400.0
5003188,F,N,N,332900.0,Working,Higher education,Married,House / apartment,-22876,-11617,2,47600.0
5003189,F,N,N,354500.0,Working,Higher education,Married,House / apartment,-12698,-4668,0,0.0
5003190,M,N,N,156600.0,State servant,Higher education,Single / not married,Municipal apartment,-9999,-2086,2,152600.0
5003191,F,N,Y,200000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15509,-4557,1,78800.0
5003192,F,Y,Y,134700.0,Commercial associate,Higher education,Single / not married,House / apartment,-24173,-13619,2,97000.0
5003193,M,Y,Y,198800.0,State servant,Secondary / secondary special,Married,House / apartment,-18544,-6892,2,1200.0
5003194,M,N,Y,311000.0,Working,Higher education,Single / not married,House / apartment,-18725,-5961,3,54000.0
5003195,F,Y,N,236300.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-19197,-10995,1,98300.0
5003196,F,N,N,425600.0,State servant,Higher education,Married,House / apartment,-8352,-296,0,436900.0
5003197,F,Y,Y,124800.0,Working,Secondary / secondary special,Married,With parents,-15320,-5800,2,0.0
5003198,M,N,Y,283700.0,Working,Secondary / secondary special,Married,House / apartment,-9001,-436,3,14000.0
